title,genre,console,year,month,total_sales
Blood Bowl 2,Sports,XOne,2015,5,0.0
DmC Devil May Cry: Definitive Edition,Action,XOne,2015,3,0.15
Resident Evil: Revelations 2,Action,XOne,2015,3,0.14
Hasbro Family Fun Pack,Misc,XOne,2015,10,0.13
Toy Soldiers: War Chest,Action,XOne,2015,8,0.08
Just Dance: Disney Party 2,Music,XOne,2015,10,0.08
Zombi,Action,PS4,2015,8,0.07
Assassin's Creed Chronicles: China,Action-Adventure,PS4,2015,4,0.04
Brothers: A Tale of Two Sons,Adventure,XOne,2015,9,0.05
NBA Live 16,Sports,XOne,2015,9,0.13
Transformers: Devastation,Action,XOne,2015,10,0.15
Tony Hawk's Pro Skater 5,Sports,XOne,2015,9,0.14
Samurai Warriors 4-II,Action,PS4,2015,9,0.13
Dead or Alive 5 Last Round,Fighting,XOne,2015,2,0.1
Bladestorm: Nightmare,Action,XOne,2015,3,0.08
Dynasty Warriors 8: Empires,Action,XOne,2015,1,0.07
Nobunaga's Ambition: Sphere of Influence,Strategy,PS4,2015,9,0.05
Risen 3: Titan Lords Enhanced Edition,Role-Playing,PS4,2015,8,0.07
Wasteland 2,Role-Playing,XOne,2015,10,0.06
Saints Row: Gat out of Hell,Action,PS4,2015,1,0.05
Earth Defense Force 4.1: The Shadow of New Despair,Shooter,PS4,2015,12,0.08
Adventure Time: Finn & Jake Investigations,Action,XOne,2015,10,0.06
Darksiders II: Deathinitive Edition,Action-Adventure,XOne,2015,10,0.08
Legend of Kay Anniversary,Action,PS4,2015,5,0.08
Legend of Kay Anniversary,Action,PS4,2015,7,0.07
The Book of Unwritten Tales 2,Adventure,PS4,2015,9,0.07
MX vs. ATV Supercross Encore,Sports,XOne,2015,10,0.06
MX vs. ATV Supercross Encore,Sports,PS4,2015,10,0.06
Arcania: Gothic 4,Role-Playing,PS4,2015,5,0.05
Grand Ages: Medieval,Strategy,PS4,2015,9,0.09
Rugby 15,Sports,XOne,2015,2,0.09
The Golf Club,Sports,XOne,2015,4,0.07
Game of Thrones: A Telltale Games Series,Adventure,PS4,2015,11,0.06
BlazBlue: Chrono Phantasma Extend,Fighting,XOne,2015,6,0.08
Ride,Racing,XOne,2015,6,0.11
Axiom Verge,Action,PS4,2015,3,0.04
Wolfenstein: The Old Blood,Shooter,XOne,2015,5,0.15
WRC 5: FIA World Rally Championship,Racing,PS4,2015,11,0.06
Handball 16,Sports,PS4,2015,11,0.06
Rugby World Cup 2015,Sports,PS4,2015,9,0.06
Mighty No. 9,Platform,XOne,2015,7,0.05
The Talos Principle,Puzzle,PS4,2015,10,0.04
Divinity: Original Sin,Role-Playing,XOne,2015,10,0.1
Zombie Army Trilogy,Shooter,XOne,2015,3,0.12
Ultra Street Fighter IV,Fighting,PS4,2015,5,0.1
Pro Evolution Soccer 2016,Sports,XOne,2015,9,0.12
Trials Fusion,Racing,XOne,2015,1,0.25
The Crew: Wild Run,Racing,PS4,2015,11,0.14
Toy Soldiers: War Chest,Action,PS4,2015,8,0.09
Payday 2,Shooter,XOne,2015,6,0.23
Brothers: A Tale of Two Sons,Adventure,PS4,2015,8,0.15
Deadpool,Action,XOne,2015,11,0.22
BlazBlue: Chrono Phantasma Extend,Fighting,PS4,2015,6,0.16
F1 2015,Racing,XOne,2015,7,0.25
Saints Row IV: Re-Elected,Action,XOne,2015,1,0.24
Wasteland 2,Role-Playing,PS4,2015,10,0.15
Let's Sing 2016,Music,PS4,2015,10,0.1
Final Fantasy XIV: Heavensward,MMO,PS4,2015,6,0.17
Adventure Time: Finn & Jake Investigations,Action,PS4,2015,10,0.14
Rugby 15,Sports,PS4,2015,2,0.13
The Golf Club,Sports,PS4,2015,4,0.13
